dbId,domainId,eqId,freewayId,latitude,locationId,longitude,mainDirection,url
2030651,P,CCTV-N5-N-24.956-M,10050,24.872105,0,121.777128,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402903
2030652,P,CCTV-N5-N-25.043-M,10050,24.87148,0,121.777763,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402904
2030653,P,CCTV-N5-N-25.129-M,10050,24.870974,0,121.778294,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402905
2030654,P,CCTV-N5-N-25.220-M,10050,24.870409,0,121.778896,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402906
2030655,P,CCTV-N5-N-25.272-M,10050,24.870046,0,121.779275,2,https://cctvp02.freeway.gov.tw/mjpeg/X01001510212101
2030656,P,CCTV-N5-N-25.308-PS,10050,24.869823,0,121.779611,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402907
2030657,P,CCTV-N5-N-25.309-M,10050,24.86988,0,121.779428,2,https://cctvp02.freeway.gov.tw/mjpeg/X01001510212201
2030658,P,CCTV-N5-N-25.310-C,10050,24.869693,0,121.779523,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403315
2030659,P,CCTV-N5-N-25.315-P,10050,24.869582,0,121.779434,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403201
2030660,P,CCTV-N5-N-25.395-M,10050,24.869322,0,121.780016,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402908
2030661,P,CCTV-N5-N-25.479-M,10050,24.868794,0,121.780584,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402909
2030662,P,CCTV-N5-N-25.568-M,10050,24.868084,0,121.781334,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402910
2030663,P,CCTV-N5-N-25.652-C,10050,24.86748,0,121.781837,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403202
2030664,P,CCTV-N5-N-25.656-M,10050,24.867517,0,121.78193,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402911
2030665,P,CCTV-N5-N-25.744-M,10050,24.866937,0,121.782532,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402912
2030666,P,CCTV-N5-N-25.831-M,10050,24.866365,0,121.783131,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402913
2030667,P,CCTV-N5-N-25.919-M,10050,24.865718,0,121.783825,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402914
2030668,P,CCTV-N5-N-26.006-M,10050,24.865235,0,121.784332,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402915
2030669,P,CCTV-N5-N-26.007-C,10050,24.865135,0,121.784305,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403203
2030670,P,CCTV-N5-N-26.015-P,10050,24.864919,0,121.784265,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403204
2030671,P,CCTV-N5-N-26.095-M,10050,24.864696,0,121.784914,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500402916
2030672,P,CCTV-N5-N-26.183-M,10050,24.864219,0,121.785399,2,https://cctvp02.freeway.gov.tw/mjpeg/X01000500403001
